British (English) vernacular name,IOC World Bird List international English name,Scientific name,Category,Codes,† BBRC species,‡ BBRC subspecies,SEQ
Brent Goose,Brant Goose,Branta bernicla,AEF,,,,10
Red-breasted Goose,,Branta ruficollis,AE*F,†,,,20
Canada Goose,,Branta canadensis,AC2E*,‡,,,30
Barnacle Goose,,Branta leucopsis,AC2E*F,,,,40
Cackling Goose,,Branta hutchinsii,AE,†,,,50
Ross's Goose,,Anser rossii,AE*,†,,,60
Snow Goose,,Anser caerulescens,AC2E*,,,,70
Greylag Goose,,Anser anser,AC2C4E*F,,,,80
Taiga Bean Goose,,Anser fabalis,AE*F,,,,90
Pink-footed Goose,,Anser brachyrhynchus,AE*F,,,,100
Tundra Bean Goose,,Anser serrirostris,AE,,,,110
White-fronted Goose,Greater White-fronted Goose,Anser albifrons,AE*F,,,,120
Lesser White-fronted Goose,,Anser erythropus,AE*F,†,,,130
Mute Swan,,Cygnus olor,AC2F,,,,140
Bewick's Swan,Tundra Swan,Cygnus columbianus,AEF,‡,,,150
Whooper Swan,,Cygnus cygnus,AE*F,,,,160
Egyptian Goose,,Alopochen aegyptiaca,C1C5E*,,,,170
Shelduck,Common Shelduck,Tadorna tadorna,AF,,,,180
Ruddy Shelduck,,Tadorna ferruginea,BDE*F,†,,,190
Mandarin Duck,,Aix galericulata,C1E*,,,,200
Baikal Teal,,Sibirionetta formosa,AE,†,,,210
Garganey,,Spatula querquedula,AF,,,,220
Blue-winged Teal,,Spatula discors,AE*,†,,,230
Shoveler,Northern Shoveler,Spatula clypeata,AF,,,,240
Gadwall,,Mareca strepera,AC2E*F,,,,250
Falcated Duck,,Mareca falcata,AE,†,,,260
Wigeon,Eurasian Wigeon,Mareca penelope,AE*F,,,,270
American Wigeon,,Mareca americana,AE,,,,280
Mallard,,Anas platyrhynchos,AC2C4E*F,,,,290
Black Duck,American Black Duck,Anas rubripes,A,†,,,300
Pintail,Northern Pintail,Anas acuta,AEF,,,,310
Teal,Eurasian Teal,Anas crecca,AF,,,,320
Green-winged Teal,,Anas carolinensis,A,,,,330
Red-crested Pochard,,Netta rufina,AC2E*F,,,,340
Canvasback,,Aythya valisineria,AE,†,,,350
Redhead,,Aythya americana,AE,†,,,360
Pochard,Common Pochard,Aythya ferina,AE*F,,,,370
Ferruginous Duck,,Aythya nyroca,AE,†,,,380
Ring-necked Duck,,Aythya collaris,AE,,,,390
Tufted Duck,,Aythya fuligula,AF,,,,400
Scaup,Greater Scaup,Aythya marila,AF,,,,410
Lesser Scaup,,Aythya affinis,A,†,,,420
Steller's Eider,,Polysticta stelleri,A,†,,,430
King Eider,,Somateria spectabilis,A,†,,,440
Eider,Common Eider,Somateria mollissima,AF,,,,450
Harlequin Duck,,Histrionicus histrionicus,A,†,,,460
Surf Scoter,,Melanitta perspicillata,AF,,,,470
Velvet Scoter,,Melanitta fusca,AF,,,,480
White-winged Scoter,,Melanitta deglandi,A,†,,,490
Common Scoter,,Melanitta nigra,AF,,,,500
Black Scoter,,Melanitta americana,A,†,,,510
Long-tailed Duck,,Clangula hyemalis,AF,,,,520
Bufflehead,,Bucephala albeola,AE,†,,,530
Goldeneye,Common Goldeneye,Bucephala clangula,AE*F,,,,540
Barrow's Goldeneye,,Bucephala islandica,AE,†,,,550
Smew,,Mergellus albellus,AF,,,,560
Hooded Merganser,,Lophodytes cucullatus,AE,†,,,570
Goosander,Common Merganser,Mergus merganser,AF,,,,580
Red-breasted Merganser,,Mergus serrator,AF,,,,590
Ruddy Duck,,Oxyura jamaicensis,C1E*,,,,600
Red Grouse,Willow Ptarmigan,Lagopus lagopus,AF,,,,610
Ptarmigan,Rock Ptarmigan,Lagopus muta,AF,,,,620
Capercaillie,Western Capercaillie,Tetrao urogallus,C3E*F,,,,630
Black Grouse,,Lyrurus tetrix,AEF,,,,640
Grey Partridge,,Perdix perdix,AC2E*F,,,,650
Golden Pheasant,,Chrysolophus pictus,C1E*,,,,660
Lady Amherst's Pheasant,,Chrysolophus amherstiae,C6E*,,,,670
Pheasant,Common Pheasant,Phasianus colchicus,C1E*F,,,,680
Quail,Common Quail,Coturnix coturnix,AE*F,,,,690
Red-legged Partridge,,Alectoris rufa,C1E*F,,,,700
Common Nighthawk,,Chordeiles minor,A,†,,,710
Red-necked Nightjar,,Caprimulgus ruficollis,B,†,,,720
Nightjar,European Nightjar,Caprimulgus europaeus,AF,,,,730
Egyptian Nightjar,,Caprimulgus aegyptius,A,†,,,740
White-throated Needletail,,Hirundapus caudacutus,A,†,,,750
Chimney Swift,,Chaetura pelagica,A,†,,,760
Alpine Swift,,Tachymarptis melba,AF,,,,770
Swift,Common Swift,Apus apus,AF,,,,780
Pallid Swift,,Apus pallidus,A,†,,,790
Pacific Swift,,Apus pacificus,A,†,,,800
Little Swift,,Apus affinis,A,†,,,810
White-rumped Swift,,Apus caffer,A,†,,,820
Great Bustard,,Otis tarda,AE*F,†,,,830
Macqueen's Bustard,,Chlamydotis macqueenii,A,†,,,840
Little Bustard,,Tetrax tetrax,AF,†,,,850
Great Spotted Cuckoo,,Clamator glandarius,A,†,,,860
Yellow-billed Cuckoo,,Coccyzus americanus,A,†,,,870
Black-billed Cuckoo,,Coccyzus erythropthalmus,A,†,,,880
Cuckoo,Common Cuckoo,Cuculus canorus,AF,,,,890
Pallas's Sandgrouse,,Syrrhaptes paradoxus,A,†,,,900
Rock Dove,,Columba livia,AC4E*F,,,,910
Stock Dove,,Columba oenas,AF,,,,920
Woodpigeon,Common Wood Pigeon,Columba palumbus,AF,,,,930
Turtle Dove,European Turtle Dove,Streptopelia turtur,AF,,,,940
Oriental Turtle Dove,,Streptopelia orientalis,A,†,,,950
Collared Dove,Eurasian Collared Dove,Streptopelia decaocto,A,,,,960
Mourning Dove,,Zenaida macroura,A,†,,,970
Water Rail,,Rallus aquaticus,AF,,,,980
Corncrake,Corn Crake,Crex crex,AE*F,,,,990
Sora Rail,Sora,Porzana carolina,A,†,,,1000
Spotted Crake,,Porzana porzana,AF,,,,1010
Moorhen,Common Moorhen,Gallinula chloropus,AF,,,,1020
Coot,Eurasian Coot,Fulica atra,AF,,,,1030
American Coot,,Fulica americana,A,†,,,1040
Allen's Gallinule,,Porphyrio alleni,A,†,,,1050
American Purple Gallinule,Purple Gallinule,Porphyrio martinica,A,†,,,1060
Western Swamphen,,Porphyrio porphyrio,AE,†,,,1070
Baillon's Crake,,Zapornia pusilla,A,†,,,1080
Little Crake,,Zapornia parva,A,†,,,1090
Sandhill Crane,,Antigone canadensis,A,†,,,1100
Crane,Common Crane,Grus grus,AE*F,,,,1110
Little Grebe,,Tachybaptus ruficollis,AF,,,,1120
Pied-billed Grebe,,Podilymbus podiceps,A,†,,,1130
Red-necked Grebe,,Podiceps grisegena,AF,‡,,,1140
Great Crested Grebe,,Podiceps cristatus,AF,,,,1150
Slavonian Grebe,Horned Grebe,Podiceps auritus,AF,,,,1160
Black-necked Grebe,,Podiceps nigricollis,A,,,,1170
Stone-curlew,Eurasian Stone-curlew,Burhinus oedicnemus,AF,,,,1180
Oystercatcher,Eurasian Oystercatcher,Haematopus ostralegus,AF,,,,1190
Black-winged Stilt,,Himantopus himantopus,A,,,,1200
Avocet,Pied Avocet,Recurvirostra avosetta,AEF,,,,1210
Lapwing,Northern Lapwing,Vanellus vanellus,AF,,,,1220
Sociable Plover,Sociable Lapwing,Vanellus gregarius,A,†,,,1230
White-tailed Plover,White-tailed Lapwing,Vanellus leucurus,A,†,,,1240
Golden Plover,European Golden Plover,Pluvialis apricaria,AF,,,,1250
Pacific Golden Plover,,Pluvialis fulva,A,†,,,1260
American Golden Plover,,Pluvialis dominica,A,,,,1270
Grey Plover,,Pluvialis squatarola,AF,,,,1280
Ringed Plover,Common Ringed Plover,Charadrius hiaticula,AF,,,,1290
