locId,locName,countryCode,subnational1Code,subnational2Code,lat,lng,latestObsDt,numSpeciesAllTime
L14631317,A505 near Chrishall Rd,GB,GB-ENG,GB-ENG-CAM,52.0769568,0.086647,2022-01-16 08:40,5
L1015321,Abberton Reservoir,GB,GB-ENG,GB-ENG-ESS,51.8254661,0.8630276,2022-03-06 11:23,220
L14637092,Abberton Reservoir--Billets Farm and Hide,GB,GB-ENG,GB-ENG-ESS,51.8153733,0.8494449,2022-02-26 15:35,66
L5400797,Abberton Reservoir--Layer Breton Causeway,GB,GB-ENG,GB-ENG-ESS,51.8149029,0.827837,2022-02-28 13:00,143
L2547041,Abberton Reservoir--Layer-de-la-Haye Causeway,GB,GB-ENG,GB-ENG-ESS,51.81975,0.84783,2022-02-25 09:24,167
L5808197,Abberton Reservoir--St Andrews Church Viewpoint,GB,GB-ENG,GB-ENG-ESS,51.836726,0.89859,2022-02-08 13:07,114
L10578415,Abberton Reservoir--Visitor Centre,GB,GB-ENG,GB-ENG-ESS,51.824665,0.8491659,2022-03-02 11:00,132
L5816051,Abberton Reservoir--Wigborough Bay Viewpoint,GB,GB-ENG,GB-ENG-ESS,51.811957,0.847233,2022-02-24 15:00,99
L11913254,Abbey Fields,GB,GB-ENG,GB-ENG-WAR,52.3475189,-1.5824795,2022-02-19 09:20,70
L12105009,Abbey Hill Park,GB,GB-ENG,GB-ENG-LND,51.4346218,0.1136139,NA,NA
L13612849,Abbey Meads Lake,GB,GB-ENG,GB-ENG-KEN,51.3207802,0.4540657,2022-03-06 10:41,80
L12105011,Abbey Mills (Colliers Wood),GB,GB-ENG,GB-ENG-LND,51.4126107,-0.1822403,2022-02-27 10:52,33
L12105010,Abbey Mills (Mill Meads),GB,GB-ENG,GB-ENG-LND,51.528361,-0.0011302,2021-01-25 15:03,4
L13144691,Abbey Mills (Morpeth),GB,GB-ENG,GB-ENG-NBL,55.1657807,-1.7140075,2022-01-28 13:00,56
L11417824,Abbey Park (Great Missenden),GB,GB-ENG,GB-ENG-BKM,51.6984074,-0.7002154,2022-02-22 07:06,60
