locId,locName,countryCode,subnational1Code,lat,lng,latestObsDt,numSpeciesAllTime
L5941152,Acheleia (Αχέλεια),CY,CY-05,34.7285635,32.4791479,2021-03-08 06:42,71
L6194429,Agia Varvara (Αγιά Βαρβάρα),CY,CY-05,34.754081,32.5076874,2023-02-27 10:50,177
L7281027,Agillidere Dam,CY,CY-04,35.2506974,33.5787356,2022-09-03 09:02,40
L6811531,Agios Dimitrianos (Άγιος Δημητριανός),CY,CY-05,34.9081763,32.5509882,2018-01-27 08:30,18
L21433529,Agios Dimitros Park / Πάρκο Αγίου Δημητρίου,CY,CY-01,35.153138,33.35584,2022-11-03 16:31,7
L9234656,Agios Ermolaos Dam,CY,CY-06,35.2621514,33.1684167,2022-10-25 08:35,30
L8677204,Agios Filonas,CY,CY-04,35.6300774,34.3749317,2023-01-04 10:37,103
L5710118,Agios Georgios (St George) Chapel,CY,CY-02,34.6033029,32.9398227,2022-10-12 09:30,103
L20871655,Agios Georgios Park and Lake / Πάρκο και Λίμνη Αγίου Γεωργίου,CY,CY-01,35.142475,33.400028,2023-01-21 16:03,34
L4797006,Agios Nikolaos (Αγιος Νικόλαος) to Omodos (Όμοδος) road,CY,CY-02,34.8648063,32.783246,2022-06-10 07:40,48
L12914075,Agios Nikolaos Monastery (Αγιος Νικόλαος),CY,CY-02,34.5993377,32.9866219,2022-05-14 10:48,21
L22292121,Agios Sozomenos Abandoned Village and Water Treatment Works / 'Αγιος Σωζόμενος,CY,CY-01,35.0649393,33.4398097,2023-02-26 10:05,47
L1122872,Akamas Peninsula NP (Εθνικό Πάρκο Χερσονήσου Ακάμα),CY,CY-05,35.0415,32.3225,2022-12-11 11:57,139
L5653962,Akamas Peninsula NP--Fontana Amaroza (Εθνικό Πάρκο Χερσονήσου Ακάμα--Φοντάνα Αμορόζα),CY,CY-05,35.089528,32.3006845,2023-02-07 13:00,106
L3361213,Akhna (Άχνας) Dam,CY,CY-04,35.0509871,33.8079142,2023-03-04 15:16,203
L12915495,Akoursos (Ακουρσός) Pass,CY,CY-05,34.8720451,32.4121691,2018-04-11 00:00,5
L10874541,Akrotiri (Ακρωτήρι) Environmental Education Centre,CY,CY-02,34.6006447,32.9603148,2023-02-11 07:26,118
L5709990,Akrotiri (Ακρωτήρι) Gravel Pits,CY,CY-02,34.6114369,32.9345139,2023-02-11 08:49,193
L19066165,Akrotiri (Ακρωτήρι) Roadside Marsh South,CY,CY-02,34.6011209,32.9662632,2023-02-11 07:28,36
L12231364,Akrotiri (Ακρωτήρι) Turtles Beach,CY,CY-02,34.6029027,32.9316373,2022-04-06 11:41,13
L5639146,Akrotiri (Ακρωτήρι) Wildflower Area,CY,CY-02,34.599863,32.971885,2022-05-26 09:37,80
L19066078,Akrotiri Lake Southeast,CY,CY-02,34.612867,32.992367,2023-03-05 07:10,52
L918795,Akrotiri Marsh (Phasouri Reed-beds),CY,CY-02,34.6303,32.9298,2023-02-27 16:30,215
L5709855,Akrotiri Salt Lake (Limassol Salt Lake),CY,CY-02,34.6177946,32.9750776,2023-02-28 12:40,231
L8678281,Akrotiri Salt Lake (Limassol Salt Lake)--West,CY,CY-02,34.6153827,32.9475796,2023-02-05 14:03,127
L15792622,Alagadi Turtle Beaches,CY,CY-06,35.334113,33.4924382,2022-09-21 15:32,37
L8910617,Alaminos (Αλαμινός) Beach and surroundings,CY,CY-03,34.7761825,33.4697106,2021-11-02 00:00,36
L6363718,Almyrolivado / Αλμυρολίβαδο Picnic Site,CY,CY-02,34.9301694,32.9023576,2023-02-20 09:50,43
L8678051,Anarita (Αναρίτα) Mast,CY,CY-05,34.7314564,32.5484757,2022-04-12 08:00,78
L3514630,Anarita (Αναρίτα) Park,CY,CY-05,34.7630345,32.5384715,2023-02-25 13:45,118
L8756138,Androlikou,CY,CY-05,34.9984631,32.38209,2022-07-20 08:10,64
L21226171,Anthoupoli Plain / Κάμπος Ανθούπολης,CY,CY-01,35.1115814,33.2677044,2022-10-13 15:20,24
L21393830,Apalos Hill and Trail / Λόφος και Μονοπάτι Απαλού,CY,CY-01,35.089879,33.361894,2022-10-30 12:10,11
L9851837,Aphrodite Hills (Αφροδίτη Χίλς),CY,CY-05,34.686095,32.6080658,2019-08-25 08:00,41
L1122877,Aphrodites Rock,CY,CY-05,34.6642,32.6269,2023-02-05 17:01,52
L7274329,Apostolos Andreas Monastery,CY,CY-04,35.6594581,34.5742321,2022-06-14 14:30,74
L6098853,Argaka (Αργάκα) area,CY,CY-05,35.0801462,32.4968406,2019-03-16 10:26,35
L6361004,Arminou (Αρμίνου) Dam,CY,CY-05,34.877693,32.7387214,2022-04-09 15:00,42
L8677106,Armou (Άρμου) Hills,CY,CY-05,34.8092401,32.491553,2023-02-25 11:00,137
L1122880,Armou (Άρμου) area,CY,CY-05,34.803,32.4895,2022-05-31 08:42,93
L6361041,Arodes (Αρόδες),CY,CY-05,34.925912,32.3809576,2019-09-09 00:00,47
L10030966,Asprokremmos Dam (Φράγμα Ασπρόκρεμμου)--Wood,CY,CY-05,34.72771,32.5522857,2022-12-30 09:45,144
L1122873,Asprokremnos (Ασπρόκρεμμοs) Mast,CY,CY-05,34.7377,32.5503,2022-03-13 11:00,67
