code,name
GB-SCT-ABE,Aberdeen
GB-SCT-ABD,Aberdeenshire
GB-WLS-AGY,Anglesey
GB-SCT-ANS,Angus
GB-NIR-ANT,Antrim
GB-SCT-AGB,Argyll and Bute
GB-NIR-ARM,Armagh
GB-ENG-BDF,Bedfordshire
GB-NIR-BFS,Belfast
GB-ENG-BRC,Berkshire
GB-WLS-BGW,Blaenau Gwent
GB-WLS-BGE,Bridgend
GB-ENG-BST,Bristol
GB-ENG-BKM,Buckinghamshire
GB-WLS-CAY,Caerphilly
GB-ENG-CAM,Cambridgeshire
GB-WLS-CRF,Cardiff
GB-WLS-CMN,Carmarthenshire
GB-WLS-CGN,Ceredigion
GB-ENG-CHS,Cheshire
GB-SCT-CLK,Clackmannanshire
GB-WLS-CWY,Conwy
GB-ENG-CON,Cornwall
GB-ENG-CMA,Cumbria
GB-WLS-DEN,Denbighshire
GB-ENG-DBY,Derbyshire
GB-NIR-DRY,Derry
GB-ENG-DEV,Devon
GB-ENG-DOR,Dorset
GB-NIR-DOW,Down
GB-SCT-DGY,Dumfries and Galloway
GB-SCT-DND,Dundee
GB-ENG-DUR,Durham
GB-SCT-EAY,East Ayrshire
GB-SCT-EDU,East Dunbartonshire
GB-SCT-ELN,East Lothian
GB-ENG-ERY,East Riding of Yorkshire
GB-ENG-ESX,East Sussex
GB-SCT-EDH,Edinburgh
GB-SCT-ELS,Eilean Siar
GB-ENG-ESS,Essex
GB-SCT-FAL,Falkirk
GB-NIR-FER,Fermanagh
GB-SCT-FIF,Fife
GB-WLS-FLN,Flintshire
GB-SCT-GLG,Glasgow
GB-ENG-GLS,Gloucestershire
GB-WLS-GWN,Gwynedd
GB-ENG-HAL,Halton
GB-ENG-HAM,Hampshire
GB-ENG-HEF,Herefordshire
GB-ENG-HRT,Hertfordshire
GB-SCT-HLD,Highland
GB-ENG-IOW,Isle of Wight
GB-ENG-KEN,Kent
GB-ENG-LAN,Lancashire
GB-ENG-LEC,Leicestershire
GB-ENG-LIN,Lincolnshire
GB-ENG-LND,London
GB-ENG-MAN,Manchester
GB-ENG-KWL,Merseyside
GB-WLS-MTY,Merthyr Tydfil
GB-SCT-MLN,Midlothian
GB-WLS-MON,Monmouthshire
GB-SCT-MRY,Moray
GB-WLS-NTL,Neath Port Talbot
GB-WLS-NWP,Newport
GB-NIR-NYM,Newry and Mourne
GB-ENG-NFK,Norfolk
GB-SCT-NAY,North Ayrshire
GB-SCT-NLK,North Lanarkshire
GB-ENG-NYK,North Yorkshire
GB-ENG-NTH,Northamptonshire
GB-ENG-NBL,Northumberland
GB-ENG-NTT,Nottinghamshire
GB-NIR-OMH,Omagh
GB-SCT-ORK,Orkney Islands
GB-ENG-OXF,Oxfordshire
GB-WLS-PEM,Pembrokeshire
GB-SCT-PKN,Perthshire and Kinross
GB-WLS-POW,Powys
GB-SCT-RFW,Renfrewshire
GB-WLS-RCT,"Rhondda, Cynon, Taff"
GB-ENG-RUT,Rutland
GB-SCT-SCB,Scottish Borders
GB-SCT-ZET,Shetland Islands
GB-ENG-SHR,Shropshire
GB-ENG-SOM,Somerset
GB-SCT-SAY,South Ayrshire
GB-SCT-SLK,South Lanarkshire
GB-ENG-BNS,South Yorkshire
GB-ENG-STS,Staffordshire
GB-SCT-STG,Stirling
GB-ENG-STT,Stockton-on-Tees
GB-ENG-SFK,Suffolk
GB-ENG-SRY,Surrey
GB-WLS-SWA,Swansea
GB-WLS-TOF,Torfaen
GB-ENG-GAT,Tyne and Wear
GB-WLS-VGL,Vale of Glamorgan
GB-ENG-WAR,Warwickshire
GB-SCT-WDU,West Dunbartonshire
GB-SCT-WLN,West Lothian
GB-ENG-SAW,West Midlands
GB-ENG-WSX,West Sussex
GB-ENG-WKF,West Yorkshire
GB-ENG-WIL,Wiltshire
GB-ENG-WOR,Worcestershire
GB-WLS-WRX,Wrexham
